Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
R.subbifurca.OE2.1.autoMSMS.pos_P1.E.1_1_7142	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/21-1-autoMSMS-pos_P1-E-1_1_7142.d.zip	Data transformation		FILES/DERIVED_FILES/21-1-autoMSMS-pos_P1-E-1_1_7142.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.subbifurca.OE2.2.autoMSMS.pos_P1.E.2_1_7143	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/21-2-autoMSMS-pos_P1-E-2_1_7143.d.zip	Data transformation		FILES/DERIVED_FILES/21-2-autoMSMS-pos_P1-E-2_1_7143.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.subbifurca.OE2.3.autoMSMS.pos_P1.E.3_1_7144	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/21-3-autoMSMS-pos_P1-E-3_1_7144.d.zip	Data transformation		FILES/DERIVED_FILES/21-3-autoMSMS-pos_P1-E-3_1_7144.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.ciliifera.HAL.1.autoMSMS.pos_P1.E.7_1_7148	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/25-1-autoMSMS-pos_P1-E-7_1_7148.d.zip	Data transformation		FILES/DERIVED_FILES/25-1-autoMSMS-pos_P1-E-7_1_7148.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.ciliifera.HAL.2.autoMSMS.pos_P1.E.8_1_7149	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/25-2-autoMSMS-pos_P1-E-8_1_7149.d.zip	Data transformation		FILES/DERIVED_FILES/25-2-autoMSMS-pos_P1-E-8_1_7149.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.ciliifera.HAL.3.autoMSMS.pos_P1.E.9_1_7150	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/25-3-autoMSMS-pos_P1-E-9_1_7150.d.zip	Data transformation		FILES/DERIVED_FILES/25-3-autoMSMS-pos_P1-E-9_1_7150.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.gougetiana.HAL.1.autoMSMS.pos_P1.F.1_1_7151	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/26-1-autoMSMS-pos_P1-F-1_1_7151.d.zip	Data transformation		FILES/DERIVED_FILES/26-1-autoMSMS-pos_P1-F-1_1_7151.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.gougetiana.HAL.2.autoMSMS.pos_P1.F.2_1_7152	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/26-2-autoMSMS-pos_P1-F-2_1_7152.d.zip	Data transformation		FILES/DERIVED_FILES/26-2-autoMSMS-pos_P1-F-2_1_7152.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.gougetiana.HAL.3.autoMSMS.pos_P1.F.3_1_7153	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/26-3-autoMSMS-pos_P1-F-3_1_7153.d.zip	Data transformation		FILES/DERIVED_FILES/26-3-autoMSMS-pos_P1-F-3_1_7153.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.huebeneriana.GOT.1.autoMSMS.pos_P1.C.1_1_7124	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/45-1-autoMSMS-pos_P1-C-1_1_7124.d.zip	Data transformation		FILES/DERIVED_FILES/45-1-autoMSMS-pos_P1-C-1_1_7124.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.huebeneriana.GOT.2.autoMSMS.pos_P1.C.2_1_7125	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/45-2-autoMSMS-pos_P1-C-2_1_7125.d.zip	Data transformation		FILES/DERIVED_FILES/45-2-autoMSMS-pos_P1-C-2_1_7125.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.huebeneriana.GOT.3.autoMSMS.pos_P1.C.3_1_7126	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/45-3-autoMSMS-pos_P1-C-3_1_7126.d.zip	Data transformation		FILES/DERIVED_FILES/45-3-autoMSMS-pos_P1-C-3_1_7126.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
A.gracilis.SWE.1.autoMSMS.pos_P1.B.1_1_7058	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/5-1-autoMSMS-pos_P1-B-1_1_7058.d.zip	Data transformation		FILES/DERIVED_FILES/5-1-autoMSMS-pos_P1-B-1_1_7058.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
A.gracilis.SWE.2.autoMSMS.pos_P1.B.2_1_7059	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/5-2-autoMSMS-pos_P1-B-2_1_7059.d.zip	Data transformation		FILES/DERIVED_FILES/5-2-autoMSMS-pos_P1-B-2_1_7059.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
A.gracilis.SWE.3.autoMSMS.pos_P1.B.3_1_7060	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/5-3-autoMSMS-pos_P1-B-3_1_7060.d.zip	Data transformation		FILES/DERIVED_FILES/5-3-autoMSMS-pos_P1-B-3_1_7060.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.gothica.GOT.1.autoMSMS.pos_P1.C.4_1_7127	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/7-1-autoMSMS-pos_P1-C-4_1_7127.d.zip	Data transformation		FILES/DERIVED_FILES/7-1-autoMSMS-pos_P1-C-4_1_7127.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.gothica.GOT.2.autoMSMS.pos_P1.C.5_1_7128	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/7-2-autoMSMS-pos_P1-C-5_1_7128.d.zip	Data transformation		FILES/DERIVED_FILES/7-2-autoMSMS-pos_P1-C-5_1_7128.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.gothica.GOT.3.autoMSMS.pos_P1.C.6_1_7129	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/7-3-autoMSMS-pos_P1-C-6_1_7129.d.zip	Data transformation		FILES/DERIVED_FILES/7-3-autoMSMS-pos_P1-C-6_1_7129.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
M.fragrans.GOT.1.autoMSMS.pos_P1.A.1_1_7049	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/8-1-autoMSMS-pos_P1-A-1_1_7049.d.zip	Data transformation		FILES/DERIVED_FILES/8-1-autoMSMS-pos_P1-A-1_1_7049.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
M.fragrans.GOT.2.autoMSMS.pos_P1.A.2_1_7050	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/8-2-autoMSMS-pos_P1-A-2_1_7050.d.zip	Data transformation		FILES/DERIVED_FILES/8-2-autoMSMS-pos_P1-A-2_1_7050.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
M.fragrans.GOT.3.autoMSMS.pos_P1.A.3_1_7051	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/8-3-autoMSMS-pos_P1-A-3_1_7051.d.zip	Data transformation		FILES/DERIVED_FILES/8-3-autoMSMS-pos_P1-A-3_1_7051.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
