Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
R.beyrichiana.OEL.1.autoMSMS.neg_P1.D.4_1_7197	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/20-1-autoMSMS-neg_P1-D-4_1_7197.d.zip	Data transformation		FILES/DERIVED_FILES/20-1-autoMSMS-neg_P1-D-4_1_7197.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.beyrichiana.OEL.2.autoMSMS.neg_P1.D.5_1_7198	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/20-2-autoMSMS-neg_P1-D-5_1_7198.d.zip	Data transformation		FILES/DERIVED_FILES/20-2-autoMSMS-neg_P1-D-5_1_7198.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.beyrichiana.OEL.3.autoMSMS.neg_P1.D.6_1_7199	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/20-3-autoMSMS-neg_P1-D-6_1_7199.d.zip	Data transformation		FILES/DERIVED_FILES/20-3-autoMSMS-neg_P1-D-6_1_7199.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.subbifurca.OE2.1.autoMSMS.neg_P1.E.1_1_7203	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/21-1-autoMSMS-neg_P1-E-1_1_7203.d.zip	Data transformation		FILES/DERIVED_FILES/21-1-autoMSMS-neg_P1-E-1_1_7203.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.subbifurca.OE2.2.autoMSMS.neg_P1.E.2_1_7204	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/21-2-autoMSMS-neg_P1-E-2_1_7204.d.zip	Data transformation		FILES/DERIVED_FILES/21-2-autoMSMS-neg_P1-E-2_1_7204.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.subbifurca.OE2.3.autoMSMS.neg_P1.E.3_1_7205	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/21-3-autoMSMS-neg_P1-E-3_1_7205.d.zip	Data transformation		FILES/DERIVED_FILES/21-3-autoMSMS-neg_P1-E-3_1_7205.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.ciliifera.HAL.1.autoMSMS.neg_P1.E.7_1_7209	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/25-1-autoMSMS-neg_P1-E-7_1_7209.d.zip	Data transformation		FILES/DERIVED_FILES/25-1-autoMSMS-neg_P1-E-7_1_7209.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.ciliifera.HAL.2.autoMSMS.neg_P1.E.8_1_7210	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/25-2-autoMSMS-neg_P1-E-8_1_7210.d.zip	Data transformation		FILES/DERIVED_FILES/25-2-autoMSMS-neg_P1-E-8_1_7210.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.ciliifera.HAL.3.autoMSMS.neg_P1.E.9_1_7211	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/25-3-autoMSMS-neg_P1-E-9_1_7211.d.zip	Data transformation		FILES/DERIVED_FILES/25-3-autoMSMS-neg_P1-E-9_1_7211.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.gougetiana.HAL.1.autoMSMS.neg_P1.F.1_1_7212	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/26-1-autoMSMS-neg_P1-F-1_1_7212.d.zip	Data transformation		FILES/DERIVED_FILES/26-1-autoMSMS-neg_P1-F-1_1_7212.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.gougetiana.HAL.2.autoMSMS.neg_P1.F.2_1_7213	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/26-2-autoMSMS-neg_P1-F-2_1_7213.d.zip	Data transformation		FILES/DERIVED_FILES/26-2-autoMSMS-neg_P1-F-2_1_7213.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.gougetiana.HAL.3.autoMSMS.neg_P1.F.3_1_7214	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/26-3-autoMSMS-neg_P1-F-3_1_7214.d.zip	Data transformation		FILES/DERIVED_FILES/26-3-autoMSMS-neg_P1-F-3_1_7214.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.huebeneriana.GOT.1.autoMSMS.neg_P1.C.1_1_7185	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/45-1-autoMSMS-neg_P1-C-1_1_7185.d.zip	Data transformation		FILES/DERIVED_FILES/45-1-autoMSMS-neg_P1-C-1_1_7185.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.huebeneriana.GOT.2.autoMSMS.neg_P1.C.2_1_7186	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/45-2-autoMSMS-neg_P1-C-2_1_7186.d.zip	Data transformation		FILES/DERIVED_FILES/45-2-autoMSMS-neg_P1-C-2_1_7186.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.huebeneriana.GOT.3.autoMSMS.neg_P1.C.3_1_7187	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/45-3-autoMSMS-neg_P1-C-3_1_7187.d.zip	Data transformation		FILES/DERIVED_FILES/45-3-autoMSMS-neg_P1-C-3_1_7187.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
A.gracilis.SWE.1.autoMSMS.neg_P1.B.1_1_7176	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/5-1-autoMSMS-neg_P1-B-1_1_7176.d.zip	Data transformation		FILES/DERIVED_FILES/5-1-autoMSMS-neg_P1-B-1_1_7176.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
A.gracilis.SWE.2.autoMSMS.neg_P1.B.2_1_7177	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/5-2-autoMSMS-neg_P1-B-2_1_7177.d.zip	Data transformation		FILES/DERIVED_FILES/5-2-autoMSMS-neg_P1-B-2_1_7177.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
A.gracilis.SWE.3.autoMSMS.neg_P1.B.3_1_7178	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/5-3-autoMSMS-neg_P1-B-3_1_7178.d.zip	Data transformation		FILES/DERIVED_FILES/5-3-autoMSMS-neg_P1-B-3_1_7178.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.gothica.GOT.1.autoMSMS.neg_P1.C.4_1_7188	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/7-1-autoMSMS-neg_P1-C-4_1_7188.d.zip	Data transformation		FILES/DERIVED_FILES/7-1-autoMSMS-neg_P1-C-4_1_7188.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.gothica.GOT.2.autoMSMS.neg_P1.C.5_1_7189	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/7-2-autoMSMS-neg_P1-C-5_1_7189.d.zip	Data transformation		FILES/DERIVED_FILES/7-2-autoMSMS-neg_P1-C-5_1_7189.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.gothica.GOT.3.autoMSMS.neg_P1.C.6_1_7190	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/7-3-autoMSMS-neg_P1-C-6_1_7190.d.zip	Data transformation		FILES/DERIVED_FILES/7-3-autoMSMS-neg_P1-C-6_1_7190.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
M.fragrans.GOT.1.autoMSMS.neg_P1.A.1_1_7159	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/8-1-autoMSMS-neg_P1-A-1_1_7159.d.zip	Data transformation		FILES/DERIVED_FILES/8-1-autoMSMS-neg_P1-A-1_1_7159.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
M.fragrans.GOT.2.autoMSMS.neg_P1.A.2_1_7160	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/8-2-autoMSMS-neg_P1-A-2_1_7160.d.zip	Data transformation		FILES/DERIVED_FILES/8-2-autoMSMS-neg_P1-A-2_1_7160.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
M.fragrans.GOT.3.autoMSMS.neg_P1.A.3_1_7161	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/8-3-autoMSMS-neg_P1-A-3_1_7161.d.zip	Data transformation		FILES/DERIVED_FILES/8-3-autoMSMS-neg_P1-A-3_1_7161.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
