rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
11	2	1	2	0.9709086627107344	-231.6810791873033	0.7386934673366835	93.1394580717763	C16H17N6O8PS	[M - H]-	PGDFJXBITWBGSR	InChI=1S/C16H17N6O8PS/c17-14-11-15(19-6-18-14)21(7-20-11)16-13(24)12(23)10(29-16)5-28-31(27,32)30-9-3-1-8(2-4-9)22(25)26/h1-4,6-7,10,12-13,16,23-24H,5H2,(H,27,32)(H2,17,18,19)	Adenosine 5''-O-phosphorothioate O-4-nitrophenyl ester	C1=CC(=CC=C1[N+](=O)[O-])OP(=S)(O)OCC2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)O	0.52006048	191983;13873452	PubChem:(191983 13873452);MeSH:(191983)	6	483.05108532861	404.19507643925	1336_neg_ms2_spectra_FT07431
12	2	1	2	0.9648489176955419	-589.167213244635	0.016080402010050253	73.94620334729659	C38H50N8O12S	[M + Cl]-	DXBJHRPKFQGVGZ	InChI=1S/C38H50N8O12S/c1-20(45(2)34(53)26(39)16-21-6-4-8-23(47)14-21)31(33(52)40-19-25-18-29(49)35(58-25)46-12-10-30(50)43-38(46)57)44-32(51)27(11-13-59-3)41-37(56)42-28(36(54)55)17-22-7-5-9-24(48)15-22/h4-9,14-15,19-20,26-29,31,35,47-49H,10-13,16-18,39H2,1-3H3,(H,40,52)(H,44,51)(H,54,55)(H2,41,42,56)(H,43,50,57)	Mureidomycin B	CC(C(C(=O)NC=C1CC(C(O1)N2CCC(=O)NC2=O)O)NC(=O)C(CCSC)NC(=O)NC(CC3=CC(=CC=C3)O)C(=O)O)N(C)C(=O)C(CC4=CC(=CC=C4)O)N	-2.70000005	196702;3037873;10418088;44297671;101627952	COCONUT:(CNP0187286);Natural Products:(UNPD12128);PubChem:(196702 3037873 10418088 44297671 101627952);SuperNatural:(SN00342586);additional;MeSH:(196702 3037873 101627952);PubMed;KEGG Mine	8593637446	877.293065314242	271.907823406236	2058_neg_ms2_spectra_FT15165
13	1	1	1	0.9616193818049659	-287.98364162974724	0.9994974874371858	31.22155675619485	C10H8Cl3F3N2O2	[M + Cl]-	UYIBZMPYRKEOOD	InChI=1S/C10H8Cl3F3N2O2/c11-9(12,13)7(19)18-8(20)17-6-3-1-2-5(4-6)10(14,15)16/h1-4,7,19H,(H2,17,18,20)	null	C1=CC(=CC(=C1)NC(=O)NC(C(Cl)(Cl)Cl)O)C(F)(F)F	3.66255832	""	COCONUT:(CNP0052825);SuperNatural:(SN00140717 SN00140716)	3145728	384.932446060407	935.950944288259	911_neg_ms2_spectra_FT04620
14	1	1	1	0.9605731238538772	-171.16007622329005	0.9999999999999999	119.82440798331578	C8H13N4O9P	[M + Cl]-	YVRCVGZPIYHJLU	InChI=1S/C8H13N4O9P/c9-6-7(12(15)16)10-2-11(6)8-5(14)4(13)3(21-8)1-20-22(17,18)19/h2-5,8,13-14H,1,9H2,(H2,17,18,19)	5-Aminoimidazole Ribonucleotide Carboxylase	C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)N)[N+](=O)[O-]	-2.9000001	9547899;44564376;44344291;57484149;57496875	PubChem:(9547899 44564376 44344291 57484149 57496875);PubMed;PubChem class - bio and metabolites	16777282	375.010165576215	86.6416022664554	877_neg_ms2_spectra_FT04413
15	2	1	5	0.9580177137408304	-9.138576393601014	0.1542713567839196	8.33496537670098	C17H20N4O6	[M - H]-	AUNGANRZJHBGPY	InChI=1S/C17H20N4O6/c1-7-3-9-10(4-8(7)2)21(5-11(23)14(25)12(24)6-22)15-13(18-9)16(26)20-17(27)19-15/h3-4,11-12,14,22-25H,5-6H2,1-2H3,(H,20,26,27)	Hyflavin	CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O	-0.46567452	1072;6759;1561682;122171;193301;444658;493570;7048775;7048776;6328150;12304941;11057934;11057935;11068877;11111775;11783769;10429838;11474398;23422223;45480541;46782882;59733797;71752069;71310809;87300266;90764447;89260495;91412651;101215327;101215328;101215329;119057340;124011253;133687089	HMDB:(244);PubChem class - food;ZINC bio:(ZINC01532585 ZINC01769096 ZINC02036848 ZINC03650334 ZINC03831422 ZINC03831423 ZINC03831424 ZINC11565587);additional;HSDB:(83-88-5);MeSH:(122171 193301 493570);Plantcyc:(RIBOFLAVIN);PubMed;NORMAN:(NS00007684);COCONUT:(CNP0226191 CNP0287817);KNApSAcK:(1552);Natural Products:(UNPD100727 UNPD116686);PubChem:(1072 6759 1561682 122171 193301 444658 493570 7048775 7048776 6328150 12304941 11057934 11057935 11068877 11111775 11783769 10429838 11474398 23422223 45480541 46782882 59733797 71752069 71310809 87300266 90764447 89260495 91412651 101215327 101215328 101215329 119057340 124011253 133687089);CHEBI:(95299 57986 17015);PubChem class - bio and metabolites;KEGG:(C00255);PubChem class - safety and toxic;YMDB:(534);Training Set;PubChem class - drug;Biocyc:(CPD0-2579 CPD-17985 RIBOFLAVIN)	254798718	375.127751107962	323.519775686258	874_neg_ms2_spectra_FT04405
16	1	1	4	0.9343730259845339	-239.05298639961617	0.9537688442211056	7.611390459387389	C28H36N10O19P2	[M + Cl]-	SUYFXJWAXURLSC	InChI=1S/C28H36N10O19P2/c29-13-1-3-36(27(45)34-13)25-18(43)20(10(5-39)53-25)56-59(49,50)52-7-12-21(19(44)26(55-12)38-9-33-15-22(30)31-8-32-23(15)38)57-58(47,48)51-6-11-16(41)17(42)24(54-11)37-4-2-14(40)35-28(37)46/h1-4,8-12,16-21,24-26,39,41-44H,5-7H2,(H,47,48)(H,49,50)(H2,29,34,45)(H2,30,31,32)(H,35,40,46)	null	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)OP(=O)(O)OCC6C(C(C(O6)N7C=CC(=O)NC7=O)O)O)O	-8.69999981	24757940	PubChem:(24757940);PubChem class - bio and metabolites	16777218	913.138885360342	412.43226299029	2084_neg_ms2_spectra_FT15498
17	5	1	3	0.9152934317857848	-256.83487138514886	0.010050251256281407	61.48877831154964	C10H17BN2O10P2	[M + Cl]-	VTPZXNGOSOBPKY	InChI=1S/C10H16BN2O10P2/c1-5-3-13(10(16)12-9(5)15)8-2-6(14)7(22-8)4-21-24(11,17)23-25(18,19)20/h3,6-8,14,17H,2,4H2,1H3,(H,12,15,16)(H2,18,19,20)/q-1	[hydroxy-[[(2R,3S,5R)-3-hydroxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methoxy]-phosphonooxy-	[B-]=P(O)(OCC1C(CC(O1)N2C=C(C(=O)NC2=O)C)O)OP(=O)(O)O	0.0	6398506;15959402	PubChem:(6398506 15959402);PubChem class - bio and metabolites	16777218	432.017814195066	261.591446097352	1069_neg_ms2_spectra_FT05792
18	2	1	3	0.9128555609230891	-264.0484255702247	0.031155778894472366	76.47925554683883	C18H22N6O6	[M + Cl]-	ZZKILQVTUWDOMA	InChI=1S/C18H22N6O6/c1-21-16-14(17(27)22(2)18(21)28)23(10-20-16)8-7-19-13(9-25)15(26)11-3-5-12(6-4-11)24(29)30/h3-6,10,13,15,19,25-26H,7-9H2,1-2H3	Oprea1_278843	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCNC(CO)C(C3=CC=C(C=C3)[N+](=O)[O-])O	0.0736446083	386042;6993550;6993551;6993552;6993553;6993554;6993555;6993556;6993557	COCONUT:(CNP0299180 CNP0417304);PubChem:(386042 6993550 6993551 6993552 6993553 6993554 6993555 6993556 6993557);SuperNatural:(SN00050608 SN00050607 SN00050610 SN00050609);ZINC bio:(ZINC01646901 ZINC01646902 ZINC01646903 ZINC01646904)	3153922	453.130726495092	574.622664044905	1185_neg_ms2_spectra_FT06426
19	1	1	1	0.9108290865571251	-265.88182583069636	0.9999999999999999	39.48447451036575	C27H43N9O6	[M - H]-	BTFFFCWSKYOAKU	InChI=1S/C27H43N9O6/c1-15(14-37)32-23(39)17(3)34-25(41)20(11-8-12-31-27(29)30)35-26(42)21(13-19-9-6-5-7-10-19)36-24(40)18(4)33-22(38)16(2)28/h5-7,9-10,14-18,20-21H,8,11-13,28H2,1-4H3,(H,32,39)(H,33,38)(H,34,41)(H,35,42)(H,36,40)(H4,29,30,31)	(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-aminopropanoyl]amino]propanoyl]amino]-3-phenylpropanoyl]amino]-5-(diaminomethylideneamino)-N-[(2S)-1-oxo-1-[[(2S)-1-oxopropan-2-yl]amino]propan-2-yl]pentanamide	CC(C=O)NC(=O)C(C)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(C)NC(=O)C(C)N	-1.70000005	5497054	PubChem:(5497054);PubChem class - bio and metabolites	16777218	588.326937307734	670.221745922142	1667_neg_ms2_spectra_FT10387
20	3	1	3	0.9005517797379036	-75.2288060994827	0.08140703517587941	69.01693951191373	C16H17N3O4	[M - H]-	QMMASWWWQRGQQC	InChI=1S/C16H17N3O4/c20-14-6-5-12(18-14)15(21)19-13(16(22)23)7-9-8-17-11-4-2-1-3-10(9)11/h1-4,8,12-13,17H,5-7H2,(H,18,20)(H,19,21)(H,22,23)	Oprea1_209063	C1CC(=O)NC1C(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)O	0.722867608	1549117;1549118;1761044;1761045;1761047;1761048;1761050;1761051;4267248;22301177;70536090	COCONUT:(CNP0323849);PubChem:(1549117 1549118 1761044 1761045 1761047 1761048 1761050 1761051 4267248 22301177 70536090);ZINC bio:(ZINC02106047);additional;MeSH:(1761048 4267248);Training Set;PubMed;KEGG Mine	8592580678	314.112013255447	318.021050949337	617_neg_ms2_spectra_FT02931
21	4	1	3	0.8929108622126232	-116.2763345522254	0.02763819095477387	58.8056902694542	C26H33N3O6	[M - H]-	YUUGXIVVDZSRNR	InChI=1S/C26H33N3O6/c1-35-24-18-20(6-10-22(24)31)8-12-25(33)28-15-3-2-13-27-14-4-16-29-26(34)11-7-19-5-9-21(30)23(32)17-19/h5-12,17-18,27,30-32H,2-4,13-16H2,1H3,(H,28,33)(H,29,34)	null	COC1=C(C=CC(=C1)C=CC(=O)NCCCCNCCCNC(=O)C=CC2=CC(=C(C=C2)O)O)O	2.5999999	131751431	COCONUT:(CNP0344758);HMDB:(33470 38843);Natural Products:(UNPD18368);PubChem:(131751431);SuperNatural:(SN00393165);PubChem class - bio and metabolites;KEGG Mine	8609890314	482.225977215518	306.264233906229	1333_neg_ms2_spectra_FT07420
22	4	1	5	0.8784181210443383	-310.3048672234253	0.0271356783919598	30.454702526745933	C23H24N6O6S	[M - H]-	PNLVXTUTMBHOGP	InChI=1S/C23H24N6O6S/c1-14-5-6-16(11-18(14)36(33,34)26-15-7-9-17(35-4)10-8-15)25-19(30)12-29-13-24-21-20(29)22(31)28(3)23(32)27(21)2/h5-11,13,26H,12H2,1-4H3,(H,25,30)	2-(1,3-dimethyl-2,6-dioxopurin-7-yl)-N-[3-[(4-methoxyphenyl)sulfamoyl]-4-methylphenyl]acetamide	CC1=C(C=C(C=C1)NC(=O)CN2C=NC3=C2C(=O)N(C(=O)N3C)C)S(=O)(=O)NC4=CC=C(C=C4)OC	1.39999998	4683977	PubChem:(4683977);PubMed;CHEBI:(116898)	98	511.14192616922	345.475369355879	1453_neg_ms2_spectra_FT08316
23	2	1	1	0.8683209349401582	-250.4496213407042	0.9999999999999999	34.97480806892259	C27H43N9O6	[M - H]-	BTFFFCWSKYOAKU	InChI=1S/C27H43N9O6/c1-15(14-37)32-23(39)17(3)34-25(41)20(11-8-12-31-27(29)30)35-26(42)21(13-19-9-6-5-7-10-19)36-24(40)18(4)33-22(38)16(2)28/h5-7,9-10,14-18,20-21H,8,11-13,28H2,1-4H3,(H,32,39)(H,33,38)(H,34,41)(H,35,42)(H,36,40)(H4,29,30,31)	(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-aminopropanoyl]amino]propanoyl]amino]-3-phenylpropanoyl]amino]-5-(diaminomethylideneamino)-N-[(2S)-1-oxo-1-[[(2S)-1-oxopropan-2-yl]amino]propan-2-yl]pentanamide	CC(C=O)NC(=O)C(C)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(C)NC(=O)C(C)N	-1.70000005	5497054	PubChem:(5497054);PubChem class - bio and metabolites	16777218	588.326170581243	648.192823226468	1669_neg_ms2_spectra_FT10389
24	3	1	3	0.8472943240737121	-331.8312889969042	0.12412060301507538	28.032015530280503	C46H72O12	[M - H]-	AKKIXIYYMOHCOW	InChI=1S/C46H72O12/c1-12-24(3)38(53)56-34-26(5)55-40(33(51)35(34)57-39(54)25(4)13-2)58-37-36(52)46(23-48)28(20-41(37,6)7)27-14-15-30-42(8)18-17-31(49)43(9,22-47)29(42)16-19-44(30,10)45(27,11)21-32(46)50/h12-14,26,28-37,40,47-52H,15-23H2,1-11H3	[(2R,3S,4R,5R,6S)-6-[[(3R,4R,4aR,5R,6aR,6aS,6bR,8aR,9S,10S,12aR,14bS)-4,5,10-trihydroxy-4a,9-bis(hydroxymethyl)-2,2,6a,6b,9,12a-hexamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicen-3-yl]oxy]-5-hydroxy-2-methyl-4-[(Z)-2-methylbut-2-enoyl]oxyoxan-3-yl] (Z)-2-methylbut-2-enoate	CC=C(C)C(=O)OC1C(OC(C(C1OC(=O)C(=CC)C)O)OC2C(C3(C(CC2(C)C)C4=CCC5C6(CCC(C(C6CCC5(C4(CC3O)C)C)(C)CO)O)C)CO)O)C	6.4000001	21626365	COCONUT:(CNP0319052);Natural Products:(UNPD31799 UNPD194759 UNPD143080 UNPD165855);PubChem:(21626365);SuperNatural:(SN00254250 SN00369629 SN00396794 SN00356026)	3178498	815.490512231605	954.03185666796	2013_neg_ms2_spectra_FT14546
25	3	1	2	0.8446935468836402	-332.7124683116909	0.02663316582914573	47.76887869495551	C19H30FN4O14P	[M + Cl]-	DLSXHRIQCIXYOE	InChI=1S/C19H30FN4O14P/c1-6(26)22-11-14(30)10(20)18(37-16(11)12(28)7(27)4-25)38-39(33,34)35-5-8-13(29)15(31)17(36-8)24-3-2-9(21)23-19(24)32/h2-3,7-8,10-18,25,27-31H,4-5H2,1H3,(H,22,26)(H,33,34)(H2,21,23,32)	null	CC(=O)NC1C(C(C(OC1C(C(CO)O)O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=NC3=O)N)O)O)F)O	-6.0999999	137349356	PubChem:(137349356);PubChem class - bio and metabolites	16777218	623.12140812932	342.821969685859	1736_neg_ms2_spectra_FT11092
26	1	1	2	0.8266825341657204	-14.249138163930471	0.6537688442211055	13.219395088246856	C15H18N2O3	[M - H]-	AZEGJHGXTSUPPG	InChI=1S/C15H18N2O3/c1-9(2)14(15(19)20)17-13(18)7-10-8-16-12-6-4-3-5-11(10)12/h3-6,8-9,14,16H,7H2,1-2H3,(H,17,18)(H,19,20)	IAA-valine	CC(C)C(C(=O)O)NC(=O)CC1=CNC2=CC=CC=C21	1.92851174	688152;446641;5165230;6921630;6921631;131868815;138402676	COCONUT:(CNP0001390 CNP0373371);PubChem:(688152 446641 5165230 6921630 6921631 131868815 138402676);CHEBI:(133561);ZINC bio:(ZINC00056772 ZINC00056773);additional;PubChem class - bio and metabolites;Plantcyc:(CPD-9577);Training Set;PubMed;Biocyc:(CPD-9577)	19556450	273.121997162765	461.803574741623	431_neg_ms2_spectra_FT02089
27	1	1	2	0.8179319024895623	-8.10776557608367	0.20904522613065327	48.26375309853899	C25H44NO7P	[M - H]-	ROPRRXYVXLDXQO	InChI=1S/C25H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-25(28)31-22-24(27)23-33-34(29,30)32-21-20-26/h6-7,9-10,12-13,15-16,24,27H,2-5,8,11,14,17-23,26H2,1H3,(H,29,30)	LPE(20:4omega6/0:0)	CCCCCC=CCC=CCC=CCC=CCCCC(=O)OCC(COP(=O)(O)OCCN)O	1.5	42607465;134764577	COCONUT:(CNP0147210);HMDB:(11517);PubChem:(42607465 134764577);CHEBI:(64395);additional;PubChem class - bio and metabolites;Training Set	19415082	500.27467477287	666.313537363348	1412_neg_ms2_spectra_FT07990
28	4	1	2	0.8123855321053247	-220.36806445712463	0.010552763819095479	31.836523727848547	C15H20N2O6S	[M - H]-	RGQYEOGLPHVWRF	InChI=1S/C15H20N2O6S/c16-11(14(19)20)6-7-13(18)17-12(15(21)22)9-24(23)8-10-4-2-1-3-5-10/h1-5,11-12H,6-9,16H2,(H,17,18)(H,19,20)(H,21,22)	(2S)-2-amino-5-[[(1R)-2-[(S)-benzylsulfinyl]-1-carboxyethyl]amino]-5-oxopentanoic acid	C1=CC=C(C=C1)CS(=O)CC(C(=O)O)NC(=O)CCC(C(=O)O)N	-3.4000001	21574470;21574471;101372373	COCONUT:(CNP0270395);Natural Products:(UNPD171099);PubChem:(21574470 21574471 101372373);SuperNatural:(SN00368365)	3178498	355.100197085855	293.180580615809	818_neg_ms2_spectra_FT03921
29	1	1	1	0.8052598795830063	-73.95297504833661	0.9999999999999999	114.9528216789525	C12H14N2O5	[M - H]-	GADGMZDHLQLZRI	InChI=1S/C12H14N2O5/c13-8-3-1-7(2-4-8)11(17)14-9(12(18)19)5-6-10(15)16/h1-4,9H,5-6,13H2,(H,14,17)(H,15,16)(H,18,19)	Pabpgga	C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)N	0.0	65138;196473;5103842;5244069;10659755;10825892;10826299;25202539;38988599;38988600;71313152;100972888;100972890;100972891;118797123	ZINC bio:(ZINC01696610 ZINC02020193);additional;MeSH:(196473);Plantcyc:(CPD0-889);PubMed;NORMAN:(NS00047839);PubChem:(65138 196473 5103842 5244069 10659755 10825892 10826299 25202539 38988599 38988600 71313152 100972888 100972890 100972891 118797123);YMDB Mine;CHEBI:(61114 60903);PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set;Biocyc:(CPD0-889);KEGG Mine	43034503270	265.080819331727	297.885868274025	403_neg_ms2_spectra_FT01965
30	2	1	6	0.8039510622011373	-459.1341633890411	0.2592964824120603	43.46993919668436	C25H18N6O6	[M - H]-	HECMZBWRWWVBJI	InChI=1S/C25H18N6O6/c1-37-21-12-15(31(35)36)7-9-19(21)29-30-22-16-5-3-2-4-13(16)10-17(23(22)32)24(33)26-14-6-8-18-20(11-14)28-25(34)27-18/h2-12,32H,1H3,(H,26,33)(H2,27,28,34)	null	COC1=C(C=CC(=C1)[N+](=O)[O-])N=NC2=C(C(=CC3=CC=CC=C32)C(=O)NC4=CC5=C(C=C4)NC(=O)N5)O	4.4000001	135666416	PubChem:(135666416);NORMAN:(NS00044014 NS00020875)	262146	497.12025042951	566.372612240215	1401_neg_ms2_spectra_FT07888
