id	molecularFormula	adduct	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
545_neg_ms2_spectra_FT02594	C18H17FO3	[M - H]-	Shikimates and Phenylpropanoids	0.767850935459137	Flavonoids	0.32006174325942993	Chalcones	0.3341835141181946	Fluorobenzenes	0.8743613362312317	Fluorobenzenes	0.8743613362312317	Halobenzenes	0.8906111717224121	Benzene and substituted derivatives	0.9708888530731201	Benzenoids	0.9998194575309753	Organic compounds; Halobenzenes; Alcohols and polyols; Ethers; Organohalogen compounds; Organooxygen compounds; Aryl fluorides; Fluorobenzenes; Organofluorides; Secondary alcohols; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
481_neg_ms2_spectra_FT02331	C16H18N2O3	[M - H]-	Alkaloids	0.5316755771636963	Small peptides	0.5020338892936707	Dipeptides	0.6346849799156189	Alpha amino acids and derivatives	0.5621057152748108	Amino acids and derivatives	0.4931780695915222	Amino acids, peptides, and analogues	0.49378538131713867	Carboxylic acids and derivatives	0.9927950501441956	Organic acids and derivatives	0.9989709854125977	Organic compounds; Organoheterocyclic compounds; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
385_neg_ms2_spectra_FT01883	C11H20N2O5	[M - H]-	Amino acids and Peptides	0.8569489121437073	Small peptides	0.9373496174812317	Dipeptides	0.999866247177124	Dipeptides	0.9995150566101074	Peptides	0.9935490489006042	Amino acids, peptides, and analogues	0.9994805455207825	Carboxylic acids and derivatives	0.9999630451202393	Organic acids and derivatives	0.9999969005584717	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Dicarboxylic acids and derivatives; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; N-acyl-L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Glutamic acid and derivatives; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities
130_neg_ms2_spectra_FT00703	C7H6N4O	[M - H]-	Alkaloids	0.723702609539032	Anthranilic acid alkaloids	0.5141400098800659	pteridine alkaloids	0.15694209933280945	Triazoles	0.6633929014205933			Triazoles	0.6633929014205933	Azoles	0.9161749482154846	Organoheterocyclic compounds	0.9999289512634277	Organic compounds; Organoheterocyclic compounds; Furans; Triazoles; Organonitrogen compounds; Organooxygen compounds; Azoles; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
99_neg_ms2_spectra_FT00596	H4N2O3S	[M + Cl]-	Amino acids and Peptides	0.7028744220733643	Small peptides	0.7256841659545898	Aminoacids	0.6620373725891113	Organic nitro compounds	0.8904988765716553			Organic nitro compounds	0.8904988765716553	Allyl-type 1,3-dipolar organic compounds	0.849050760269165	Organic 1,3-dipolar compounds	0.7494961023330688	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organic nitro compounds; Primary amines; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
258_neg_ms2_spectra_FT01274	C9H13NO5	[M - H]-	Amino acids and Peptides	0.7893909215927124	Small peptides	0.7993148565292358	Aminoacids	0.7986112833023071	Alpha amino acids	0.9268161058425903	Amino acids and derivatives	0.9753357172012329	Amino acids, peptides, and analogues	0.9751539826393127	Carboxylic acids and derivatives	0.981554388999939	Organic acids and derivatives	0.9903324246406555	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; 1,2-aminoalcohols; Polyols; Alpha amino acids; Amines; Primary amines; Alkanolamines; 1,2-diols; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
194_neg_ms2_spectra_FT00940	C5H6O3S	[M + Cl]-	Fatty acids	0.5403990149497986	Fatty Acids and Conjugates	0.6411978602409363	Aminoacids	0.3959106206893921	Carboxylic acids	0.9879366755485535			Carboxylic acids	0.9879366755485535	Carboxylic acids and derivatives	0.9919663667678833	Organic acids and derivatives	0.994350016117096	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
641_neg_ms2_spectra_FT03014	C10H6N2O4S2	[M + Cl]-	Alkaloids	0.5515676140785217	Anthranilic acid alkaloids	0.15843722224235535	Thiodiketopiperazine alkaloids	0.20789751410484314	Nitroaromatic compounds	0.6808462142944336	C-nitro compounds	0.7433132529258728	Organic nitro compounds	0.7376382946968079	Allyl-type 1,3-dipolar organic compounds	0.7592601776123047	Organic 1,3-dipolar compounds	0.7717792987823486	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiazines; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organic nitro compounds; Organic oxoazanium compounds; Benzenoids; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Azacyclic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities
322_neg_ms2_spectra_FT01601	C8H13F3N2O3	[M - H]-	Amino acids and Peptides	0.5286394357681274	Small peptides	0.5816215872764587	Aminoacids	0.26487913727760315	Alpha amino acids and derivatives	0.663489043712616	Amino acids and derivatives	0.709886372089386	Amino acids, peptides, and analogues	0.7111648321151733	Carboxylic acids and derivatives	0.8515716195106506	Organic acids and derivatives	0.9025068283081055	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Alkyl fluorides; Organofluorides; Carbonyl compounds; 1,2-aminoalcohols; Amines; Alkanolamines; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
162_neg_ms2_spectra_FT00823	C7H10O5	[M - H]-	Shikimates and Phenylpropanoids	0.5876402258872986	Phenolic acids (C6-C1)	0.6779886484146118	Dicarboxylic acids	0.6760635375976562	Medium-chain keto acids and derivatives	0.7525889873504639			Medium-chain keto acids and derivatives	0.7525889873504639	Keto acids and derivatives	0.6087604761123657	Organic acids and derivatives	0.9997913241386414	Organic compounds; Ketones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Keto acids and derivatives; Gamma-keto acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Cyclic alcohols and derivatives; Medium-chain keto acids and derivatives; Secondary alcohols; Carbonyl compounds; Polyols; Cyclitols and derivatives; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
418_neg_ms2_spectra_FT02047	C12H11F3N2O2	[M - H]-	Alkaloids	0.6951475739479065	Nicotinic acid alkaloids	0.5787477493286133	Pyridine alkaloids	0.5847740173339844	Trifluoromethylbenzenes	0.8395171165466309			Trifluoromethylbenzenes	0.8395171165466309	Benzene and substituted derivatives	0.936535656452179	Benzenoids	0.9914391040802002	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Anilides; Organooxygen compounds; Carboxylic acid amides; Alkyl fluorides; Carboxylic acid derivatives; Organofluorides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Alkyl halides; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Trifluoromethylbenzenes; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
36_neg_ms2_spectra_FT00186	C3H4O3	[M - H]-	Fatty acids	0.7910196185112	Fatty Acids and Conjugates	0.8828942775726318	Hydroxy fatty acids	0.6072590351104736	Hydroxy acids and derivatives	0.5007640719413757					Hydroxy acids and derivatives	0.5007640719413757	Organic acids and derivatives	0.9993376135826111	Organic compounds; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
514_neg_ms2_spectra_FT02457	C18H28O3	[M - H]-	Fatty acids	0.8652450442314148	Octadecanoids	0.7313668131828308	Other Octadecanoids	0.6700351238250732	Lineolic acids and derivatives	0.5917388200759888			Lineolic acids and derivatives	0.5917388200759888	Fatty Acyls	0.9884721040725708	Lipids and lipid-like molecules	0.9863170981407166	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Unsaturated fatty acids; Hydroxy fatty acids; Lineolic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
291_neg_ms2_spectra_FT01472	C9H14N2O5	[M - H]-	Carbohydrates	0.5726788640022278	Nucleosides	0.5261991024017334	Phenylethylamines	0.6189402937889099	Glycosylamines	0.5216999053955078	Glycosyl compounds	0.3106687068939209	Carbohydrates and carbohydrate conjugates	0.6892126202583313	Organooxygen compounds	0.9998313188552856	Organic oxygen compounds	0.9999123811721802	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Pentoses; Monosaccharides; Secondary alcohols; Glycosylamines; Polyols; Hydrocarbon derivatives; Hydroxypyridines; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
131_neg_ms2_spectra_FT00715	C8H5NO3	[M - H]-	Alkaloids	0.6618327498435974	Tryptophan alkaloids	0.5652728080749512	Isoindole alkaloids	0.4133387506008148	1-hydroxy-2-unsubstituted benzenoids	0.6418367028236389			1-hydroxy-2-unsubstituted benzenoids	0.6418367028236389	Phenols	0.7025613188743591	Benzenoids	0.9763200283050537	Organic compounds; Organoheterocyclic compounds; Phenols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Benzenoids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities
673_neg_ms2_spectra_FT03177	C9H9FINO3	[M - H]-	Amino acids and Peptides	0.7830991148948669	Small peptides	0.8973512053489685	Aminoacids	0.8303607106208801	Amino acids	0.9253408312797546	Amino acids and derivatives	0.9643325209617615	Amino acids, peptides, and analogues	0.9652408361434937	Carboxylic acids and derivatives	0.9901185631752014	Organic acids and derivatives	0.9968162178993225	Organic compounds; Amino acids, peptides, and analogues; Halobenzenes; Alcohols and polyols; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Aminobenzoic acids and derivatives; Aniline and substituted anilines; Benzoyl derivatives; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Aryl fluorides; Aryl iodides; Fluorobenzenes; Iodobenzenes; Monocarboxylic acids and derivatives; Carboxylic acids; Organofluorides; Organoiodides; Secondary alcohols; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Primary amines; Benzoic acids; Aryl halides; Halobenzoic acids and derivatives; Halobenzoic acids; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
163_neg_ms2_spectra_FT00831	C6H13N3O3	[M - H]-	Amino acids and Peptides	0.931617796421051	Small peptides	0.9732932448387146	Aminoacids	0.9195917844772339	Alpha amino acids	0.9759114384651184	Amino acids and derivatives	0.9994463324546814	Amino acids, peptides, and analogues	0.9994621872901917	Carboxylic acids and derivatives	0.9999401569366455	Organic acids and derivatives	1.0	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Organic carbonic acids and derivatives; Monoalkylamines; Ureas; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
354_neg_ms2_spectra_FT01739	C7H6N2O2S2	[M + Cl]-	Amino acids and Peptides	0.6432130932807922	Small peptides	0.561310887336731	Thiodiketopiperazine alkaloids	0.185576930642128	Lactams	0.5343846678733826					Lactams	0.5343846678733826	Organoheterocyclic compounds	0.9964939951896667	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Organic disulfides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
100_neg_ms2_spectra_FT00604	H4N2O3S	[M + Cl]-	Amino acids and Peptides	0.7041804790496826	Small peptides	0.7267142534255981	Aminoacids	0.6626172661781311	Organic nitro compounds	0.8890839219093323			Organic nitro compounds	0.8890839219093323	Allyl-type 1,3-dipolar organic compounds	0.8468165397644043	Organic 1,3-dipolar compounds	0.7480674386024475	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organic nitro compounds; Primary amines; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
450_neg_ms2_spectra_FT02177	C13H30N2O4	[M - H]-	Carbohydrates	0.2808118164539337	Ornithine alkaloids	0.5113862752914429	Polyamines	0.5704681277275085	Amino acids	0.6256675124168396	Amino acids and derivatives	0.7170231342315674	Amino acids, peptides, and analogues	0.7163664698600769	Carboxylic acids and derivatives	0.8023982048034668	Organic acids and derivatives	0.8529551029205322	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Carbonyl compounds; 1,3-aminoalcohols; 1,2-aminoalcohols; Polyols; Amines; Primary amines; Alkanolamines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
578_neg_ms2_spectra_FT02758	C13H26N2O6	[M - H]-	Amino acids and Peptides	0.5263022184371948	Small peptides	0.5646395683288574	Dipeptides	0.4812052249908447	Amino acids	0.6281011700630188	Amino acids and derivatives	0.7047480344772339	Amino acids, peptides, and analogues	0.7070985436439514	Carboxylic acids and derivatives	0.9881302118301392	Organic acids and derivatives	0.9989357590675354	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
482_neg_ms2_spectra_FT02332	C10H11ClN4O4	[M - H]-	Carbohydrates	0.8003121614456177	Nucleosides	0.8421242237091064	Purine nucleos(t)ides	0.7909412384033203	Purine nucleosides	0.8993275165557861					Purine nucleosides	0.8993275165557861	Nucleosides, nucleotides, and analogues	0.8535267114639282	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organohalogen compounds; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Azoles; Purine nucleosides; Aryl chlorides; Pentoses; Organochlorides; Monosaccharides; Secondary alcohols; Imidazopyrimidines; Halopyrimidines; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Tetrahydrofurans; Aryl halides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
546_neg_ms2_spectra_FT02596	C16H28O5	[M - H]-	Fatty acids	0.7689116597175598	Fatty Acids and Conjugates	0.5392001271247864	Hydroxy fatty acids	0.46034669876098633	Long-chain fatty acids	0.5367608070373535	Long-chain fatty acids	0.5367608070373535	Fatty acids and conjugates	0.9120755791664124	Fatty Acyls	0.9332942962646484	Lipids and lipid-like molecules	0.9183412194252014	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Hydroxy fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Cyclopentanols; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
